worker_id,state,industry,gender,education_level,experience_years,actual_monthly_wage,minimum_wage,fair_wage_estimate,wage_gap,gap_percentage,is_underpaid,fair_wage_gap,fair_wage_gap_pct,gender_discriminated,severity_score,severity_band
39,Rajasthan,Agriculture,Male,5th Pass,20,13684,19500,9000,5816,29.83,1,-4684,-52.04,0,38.41282051282052,High (30-60)
40,Maharashtra,Retail,Male,5th Pass,2,11343,20400,9000,9057,44.4,1,-2343,-26.03,0,50.69852941176471,High (30-60)
41,Jharkhand,Mining,Male,Illiterate,14,13277,17800,7000,4523,25.41,1,-6277,-89.67,0,36.20505617977528,High (30-60)
42,Madhya Pradesh,Leather,Male,5th Pass,8,10565,18000,9000,7435,41.31,1,-1565,-17.39,0,49.15277777777778,High (30-60)
43,Tamil Nadu,Agriculture,Male,12th Pass,7,21024,18000,18000,-3024,-16.8,0,-3024,-16.8,0,0.0,
44,Assam,Textiles,Male,10th Pass,11,18966,16800,14000,-2166,-12.89,0,-4966,-35.47,0,0.0,
45,Chhattisgarh,Retail,Male,10th Pass,11,19840,22500,14000,2660,11.82,1,-5840,-41.71,0,29.41111111111111,Low (10-30)
46,Jharkhand,Agriculture,Male,5th Pass,19,15581,17800,9000,2219,12.47,1,-6581,-73.12,0,29.73314606741573,Low (10-30)
47,Chhattisgarh,Chemicals,Male,Graduate,5,34548,22500,32000,-12048,-53.55,0,-2548,-7.96,0,0.0,
48,Maharashtra,Agriculture,Female,5th Pass,12,11099,20400,9000,9301,45.59,1,-2099,-23.32,1,97.04116166204032,Critical (60+)
49,Maharashtra,Construction,Male,10th Pass,8,18171,20400,14000,2229,10.93,1,-4171,-29.79,0,28.96323529411765,Low (10-30)
50,Karnataka,IT Services,Female,12th Pass,1,15750,21600,18000,5850,27.08,1,2250,12.5,0,37.041666666666664,High (30-60)
51,Gujarat,Retail,Male,12th Pass,0,20125,21600,18000,1475,6.83,1,-2125,-11.81,0,16.41435185185185,Low (10-30)
52,Uttar Pradesh,Agriculture,Female,Illiterate,16,11886,19500,7000,7614,39.05,1,-4886,-69.8,1,94.30812631231197,Critical (60+)
53,Madhya Pradesh,Retail,Female,10th Pass,5,13434,18000,14000,4566,25.37,1,566,4.04,1,52.58796256951946,High (30-60)
54,Odisha,Retail,Male,10th Pass,4,16646,17500,14000,854,4.88,1,-2646,-18.9,0,15.44,Low (10-30)
55,Gujarat,IT Services,Female,Graduate,11,24176,21600,32000,-2576,-11.93,0,7824,24.45,0,0.0,
56,Maharashtra,Construction,Male,Illiterate,3,8543,20400,7000,11857,58.12,1,-1543,-22.04,0,79.23134850267563,Critical (60+)
57,Haryana,Construction,Male,5th Pass,6,10361,20400,9000,10039,49.21,1,-1361,-15.12,0,60.43248347062011,Critical (60+)
58,West Bengal,Retail,Male,Illiterate,0,7352,20400,7000,13048,63.96,1,-352,-5.03,0,60.48039215686275,Critical (60+)
59,Gujarat,Machinery,Male,12th Pass,13,17752,21600,18000,3848,17.81,1,248,1.38,0,32.407407407407405,High (30-60)
60,West Bengal,Services,Female,12th Pass,4,17255,20400,18000,3145,15.42,1,745,4.14,0,31.208333333333336,High (30-60)
61,Haryana,Agriculture,Female,12th Pass,17,16267,20400,18000,4133,20.26,1,1733,9.63,0,33.629901960784316,High (30-60)
62,Uttar Pradesh,Metals,Male,Illiterate,8,8579,19500,7000,10921,56.01,1,-1579,-22.56,0,56.5025641025641,High (30-60)
63,Maharashtra,Retail,Male,12th Pass,12,19716,20400,18000,684,3.35,1,-1716,-9.53,0,14.676470588235293,Low (10-30)
64,Tamil Nadu,Food Processing,Male,12th Pass,14,21424,18000,18000,-3424,-19.02,0,-3424,-19.02,0,0.0,
65,Uttar Pradesh,Chemicals,Male,10th Pass,10,18705,19500,14000,795,4.08,1,-4705,-33.61,0,15.038461538461538,Low (10-30)
66,Rajasthan,Construction,Male,12th Pass,14,25098,19500,18000,-5598,-28.71,0,-7098,-39.43,0,0.0,
67,Uttar Pradesh,Small Manufacturing,Female,5th Pass,10,12038,19500,9000,7462,38.27,1,-3038,-33.76,1,83.06805295899555,Critical (60+)
68,West Bengal,Retail,Male,10th Pass,7,14996,20400,14000,5404,26.49,1,-996,-7.11,0,36.74509803921569,High (30-60)
69,Punjab,Food Processing,Male,12th Pass,9,17036,18500,18000,1464,7.91,1,964,5.36,0,16.956756756756757,Low (10-30)
70,Gujarat,Agriculture,Female,12th Pass,6,14252,21600,18000,7348,34.02,1,3748,20.82,1,59.71884700676935,High (30-60)
71,Tamil Nadu,Food Processing,Female,10th Pass,11,12191,18000,14000,5809,32.27,1,1809,12.92,1,81.35815983282598,Critical (60+)
72,Madhya Pradesh,Retail,Female,5th Pass,4,10357,18000,9000,7643,42.46,1,-1357,-15.08,1,86.43800437934367,Critical (60+)
73,Uttar Pradesh,Mining,Male,12th Pass,5,21661,19500,18000,-2161,-11.08,0,-3661,-20.34,0,0.0,
74,Gujarat,Agriculture,Female,12th Pass,13,18560,21600,18000,3040,14.07,1,-560,-3.11,0,30.537037037037038,High (30-60)
75,Maharashtra,Agriculture,Female,Illiterate,17,11297,20400,7000,9103,44.62,1,-4297,-61.39,1,96.4888731683998,Critical (60+)
76,West Bengal,Services,Female,12th Pass,3,18433,20400,18000,1967,9.64,1,-433,-2.41,0,17.82107843137255,Low (10-30)
77,Karnataka,Services,Male,Illiterate,10,8295,21600,7000,13305,61.6,1,-1295,-18.5,0,59.298611111111114,High (30-60)
78,Gujarat,Services,Male,12th Pass,9,22320,21600,18000,-720,-3.33,0,-4320,-24.0,0,0.0,
79,Haryana,IT Services,Male,Graduate,14,32976,20400,32000,-12576,-61.65,0,-976,-3.05,0,0.0,
80,Tamil Nadu,Agriculture,Male,5th Pass,7,9225,18000,9000,8775,48.75,1,-225,-2.5,0,61.92290797668737,Critical (60+)
81,Assam,Services,Male,Diploma,15,28458,16800,22000,-11658,-69.39,0,-6458,-29.35,0,0.0,
82,Tamil Nadu,Small Manufacturing,Male,12th Pass,5,21260,18000,18000,-3260,-18.11,0,-3260,-18.11,0,0.0,
83,West Bengal,Agriculture,Male,12th Pass,25,30470,20400,18000,-10070,-49.36,0,-12470,-69.28,0,0.0,
84,Tamil Nadu,IT Services,Male,Graduate,4,37743,18000,32000,-19743,-109.68,0,-5743,-17.95,0,0.0,
85,Madhya Pradesh,Agriculture,Female,5th Pass,15,12709,18000,9000,5291,29.39,1,-3709,-41.21,1,54.59800379356033,High (30-60)
86,Jharkhand,Metals,Male,10th Pass,13,15244,17800,14000,2556,14.36,1,-1244,-8.89,0,30.679775280898877,High (30-60)
87,Assam,IT Services,Male,Diploma,0,18599,16800,22000,-1799,-10.71,0,3401,15.46,0,0.0,
88,Punjab,Agriculture,Male,10th Pass,26,24871,18500,14000,-6371,-34.44,0,-10871,-77.65,0,0.0,
89,Gujarat,Agriculture,Female,12th Pass,20,22065,21600,18000,-465,-2.15,0,-4065,-22.58,0,0.0,
90,Karnataka,Textiles,Female,Illiterate,19,11183,21600,7000,10417,48.23,1,-4183,-59.76,1,86.7387928688538,Critical (60+)
91,Uttar Pradesh,Agriculture,Female,12th Pass,28,21511,19500,18000,-2011,-10.31,0,-3511,-19.51,0,0.0,
92,West Bengal,Machinery,Male,Graduate,12,41674,20400,32000,-21274,-104.28,0,-9674,-30.23,0,0.0,
93,Haryana,Manufacturing,Male,10th Pass,0,14747,20400,14000,5653,27.71,1,-747,-5.34,0,37.35539215686275,High (30-60)
94,Karnataka,Construction,Male,Illiterate,7,7832,21600,7000,13768,63.74,1,-832,-11.89,0,81.91959879779942,Critical (60+)
95,Tamil Nadu,Retail,Male,5th Pass,7,11843,18000,9000,6157,34.21,1,-2843,-31.59,0,45.602777777777774,High (30-60)
96,Tamil Nadu,Manufacturing,Female,Illiterate,19,9838,18000,7000,8162,45.34,1,-2838,-40.54,1,87.87553945003216,Critical (60+)
97,Tamil Nadu,Construction,Male,Illiterate,4,8211,18000,7000,9789,54.38,1,-1211,-17.3,0,78.8959667824109,Critical (60+)
98,Chhattisgarh,Construction,Male,10th Pass,0,11657,22500,14000,10843,48.19,1,2343,16.74,0,58.53265028884535,High (30-60)
99,Telangana,Small Manufacturing,Female,Illiterate,12,7873,19500,7000,11627,59.63,1,-873,-12.47,1,100.0,Critical (60+)
100,Karnataka,Mining,Male,10th Pass,16,17814,21600,14000,3786,17.53,1,-3814,-27.24,0,32.263888888888886,High (30-60)
101,Haryana,Food Processing,Female,Illiterate,14,9564,20400,7000,10836,53.12,1,-2564,-36.63,1,90.19721443124794,Critical (60+)
102,Gujarat,Construction,Male,5th Pass,9,10494,21600,9000,11106,51.42,1,-1494,-16.6,0,61.007690936111715,Critical (60+)
103,Karnataka,Mining,Male,Illiterate,6,7461,21600,7000,14139,65.46,1,-461,-6.59,0,61.229166666666664,Critical (60+)
104,Telangana,IT Services,Male,Graduate,1,32279,19500,32000,-12779,-65.53,0,-279,-0.87,0,0.0,
105,Maharashtra,Agriculture,Male,5th Pass,5,9591,20400,9000,10809,52.99,1,-591,-6.57,0,62.905110007173256,Critical (60+)
106,Uttar Pradesh,Retail,Male,12th Pass,6,23653,19500,18000,-4153,-21.3,0,-5653,-31.41,0,0.0,
107,West Bengal,Manufacturing,Female,5th Pass,6,8029,20400,9000,12371,60.64,1,971,10.79,1,94.19806667382788,Critical (60+)
108,Uttar Pradesh,Textiles,Female,12th Pass,6,16995,19500,18000,2505,12.85,1,1005,5.58,0,29.923076923076923,Low (10-30)
109,Uttar Pradesh,Services,Female,5th Pass,4,7528,19500,9000,11972,61.39,1,1472,16.36,1,95.07809043656076,Critical (60+)
110,Punjab,Small Manufacturing,Male,10th Pass,13,16324,18500,14000,2176,11.76,1,-2324,-16.6,0,29.38108108108108,Low (10-30)
111,Rajasthan,Textiles,Female,5th Pass,0,6471,19500,9000,13029,66.82,1,2529,28.1,1,100.0,Critical (60+)
112,West Bengal,Manufacturing,Female,12th Pass,12,18221,20400,18000,2179,10.68,1,-221,-1.23,0,28.840686274509803,Low (10-30)
113,Gujarat,Construction,Male,5th Pass,14,11904,21600,9000,9696,44.89,1,-2904,-32.27,0,50.94444444444444,High (30-60)
114,Chhattisgarh,Food Processing,Male,10th Pass,5,14953,22500,14000,7547,33.54,1,-953,-6.81,0,45.27111111111111,High (30-60)
115,Uttar Pradesh,Small Manufacturing,Male,12th Pass,11,25034,19500,18000,-5534,-28.38,0,-7034,-39.08,0,0.0,
116,Tamil Nadu,Construction,Male,10th Pass,4,17278,18000,14000,722,4.01,1,-3278,-23.41,0,15.005555555555556,Low (10-30)
117,Tamil Nadu,Chemicals,Female,10th Pass,15,16764,18000,14000,1236,6.87,1,-2764,-19.74,0,16.433333333333334,Low (10-30)
118,Gujarat,Mining,Male,Diploma,8,27490,21600,22000,-5890,-27.27,0,-5490,-24.95,0,0.0,
119,Uttar Pradesh,Mining,Male,10th Pass,11,15446,19500,14000,4054,20.79,1,-1446,-10.33,0,33.8948717948718,High (30-60)
120,Telangana,Agriculture,Male,5th Pass,30,18894,19500,9000,606,3.11,1,-9894,-109.93,0,14.553846153846154,Low (10-30)
121,Maharashtra,Small Manufacturing,Female,10th Pass,11,15411,20400,14000,4989,24.46,1,-1411,-10.08,0,35.72794117647059,High (30-60)
122,Gujarat,Small Manufacturing,Female,12th Pass,6,15562,21600,18000,6038,27.95,1,2438,13.54,0,37.47685185185185,High (30-60)
123,Karnataka,Food Processing,Male,Illiterate,13,10211,21600,7000,11389,52.73,1,-3211,-45.87,0,54.863425925925924,High (30-60)
124,Madhya Pradesh,Construction,Male,12th Pass,10,20137,18000,18000,-2137,-11.87,0,-2137,-11.87,0,0.0,
125,Rajasthan,Textiles,Male,5th Pass,16,14870,19500,9000,4630,23.74,1,-5870,-65.22,0,35.371794871794876,High (30-60)
126,Gujarat,Manufacturing,Female,10th Pass,22,20370,21600,14000,1230,5.69,1,-6370,-45.5,0,15.847222222222221,Low (10-30)
127,West Bengal,Agriculture,Male,5th Pass,17,14133,20400,9000,6267,30.72,1,-5133,-57.03,0,43.86029411764706,High (30-60)
128,West Bengal,Construction,Male,12th Pass,1,18776,20400,18000,1624,7.96,1,-776,-4.31,0,16.980392156862745,Low (10-30)
129,Chhattisgarh,Small Manufacturing,Female,10th Pass,20,16484,22500,14000,6016,26.74,1,-2484,-17.74,0,36.86888888888889,High (30-60)
130,Odisha,Small Manufacturing,Male,Diploma,17,22907,17500,22000,-5407,-30.9,0,-907,-4.12,0,0.0,
131,Assam,Metals,Male,5th Pass,13,13370,16800,9000,3430,20.42,1,-4370,-48.56,0,33.708333333333336,High (30-60)
132,Uttar Pradesh,Construction,Male,5th Pass,14,10584,19500,9000,8916,45.72,1,-1584,-17.6,0,59.00149837475981,High (30-60)
133,Uttar Pradesh,Agriculture,Male,5th Pass,3,10840,19500,9000,8660,44.41,1,-1840,-20.44,0,58.580852133206456,High (30-60)
134,Haryana,Manufacturing,Female,10th Pass,1,10581,20400,14000,9819,48.13,1,3419,24.42,1,87.54648691938881,Critical (60+)
135,Haryana,Agriculture,Female,12th Pass,31,18685,20400,18000,1715,8.41,1,-685,-3.81,0,17.20343137254902,Low (10-30)
136,Punjab,Textiles,Female,Diploma,17,22248,18500,22000,-3748,-20.26,0,-248,-1.13,0,0.0,
137,Maharashtra,Services,Male,12th Pass,9,18298,20400,18000,2102,10.3,1,-298,-1.66,0,28.651960784313726,Low (10-30)
138,Telangana,Manufacturing,Female,5th Pass,11,10338,19500,9000,9162,46.98,1,-1338,-14.87,1,87.59511808357666,Critical (60+)
139,Gujarat,Construction,Male,10th Pass,0,13444,21600,14000,8156,37.76,1,556,3.97,0,47.37962962962963,High (30-60)
140,Gujarat,Textiles,Male,5th Pass,17,16616,21600,9000,4984,23.07,1,-7616,-84.62,0,35.03703703703704,High (30-60)
141,Uttar Pradesh,Manufacturing,Male,12th Pass,19,19216,19500,18000,284,1.46,1,-1216,-6.76,0,13.728205128205127,Low (10-30)
142,Karnataka,Manufacturing,Female,12th Pass,22,17598,21600,18000,4002,18.53,1,402,2.23,0,32.763888888888886,High (30-60)
143,Rajasthan,Textiles,Female,10th Pass,8,15179,19500,14000,4321,22.16,1,-1179,-8.42,1,49.91225199080284,High (30-60)
144,Madhya Pradesh,Metals,Male,10th Pass,10,14993,18000,14000,3007,16.71,1,-993,-7.09,0,31.852777777777778,High (30-60)
145,Uttar Pradesh,Small Manufacturing,Female,Illiterate,10,8232,19500,7000,11268,57.78,1,-1232,-17.6,1,100.0,Critical (60+)
146,Telangana,Metals,Male,10th Pass,2,13897,19500,14000,5603,28.73,1,103,0.74,0,37.86666666666667,High (30-60)
147,West Bengal,Manufacturing,Male,12th Pass,0,16520,20400,18000,3880,19.02,1,1480,8.22,0,33.009803921568626,High (30-60)
148,Jharkhand,Food Processing,Male,Illiterate,21,13233,17800,7000,4567,25.66,1,-6233,-89.04,0,36.328651685393254,High (30-60)
149,Telangana,Chemicals,Female,12th Pass,14,19877,19500,18000,-377,-1.93,0,-1877,-10.43,0,0.0,
150,Karnataka,Textiles,Male,12th Pass,0,18184,21600,18000,3416,15.81,1,-184,-1.02,0,31.40740740740741,High (30-60)
151,Tamil Nadu,Manufacturing,Male,Illiterate,13,9914,18000,7000,8086,44.92,1,-2914,-41.63,0,50.96111111111111,High (30-60)
152,Gujarat,Retail,Female,Diploma,2,15452,21600,22000,6148,28.46,1,6548,29.76,0,37.73148148148148,High (30-60)
153,Tamil Nadu,Small Manufacturing,Male,12th Pass,18,20361,18000,18000,-2361,-13.12,0,-2361,-13.12,0,0.0,
154,Jharkhand,Agriculture,Male,5th Pass,24,13264,17800,9000,4536,25.48,1,-4264,-47.38,0,36.241573033707866,High (30-60)
155,Tamil Nadu,Food Processing,Male,Illiterate,5,7781,18000,7000,10219,56.77,1,-781,-11.16,0,56.88611111111111,High (30-60)
156,Uttar Pradesh,Food Processing,Male,5th Pass,0,8913,19500,9000,10587,54.29,1,87,0.97,0,55.64615384615385,High (30-60)
157,Punjab,Small Manufacturing,Female,12th Pass,5,16550,18500,18000,1950,10.54,1,1450,8.06,0,28.77027027027027,Low (10-30)
158,West Bengal,Silk,Female,10th Pass,9,11782,20400,14000,8618,42.25,1,2218,15.84,1,84.41617842209989,Critical (60+)
159,Odisha,Agriculture,Male,10th Pass,21,22731,17500,14000,-5231,-29.89,0,-8731,-62.36,0,0.0,
160,Chhattisgarh,Manufacturing,Male,12th Pass,7,16816,22500,18000,5684,25.26,1,1184,6.58,0,36.13111111111111,High (30-60)
161,Jharkhand,Textiles,Female,Diploma,11,24713,17800,22000,-6913,-38.84,0,-2713,-12.33,0,0.0,
162,Odisha,Chemicals,Male,12th Pass,1,20856,17500,18000,-3356,-19.18,0,-2856,-15.87,0,0.0,
163,Karnataka,Agriculture,Male,Illiterate,18,10815,21600,7000,10785,49.93,1,-3815,-54.5,0,60.45029356110648,Critical (60+)
164,Gujarat,Small Manufacturing,Male,Illiterate,10,9189,21600,7000,12411,57.46,1,-2189,-31.27,0,68.04621337456854,Critical (60+)
165,Jharkhand,Services,Female,Graduate,9,27360,17800,32000,-9560,-53.71,0,4640,14.5,0,0.0,
166,Madhya Pradesh,Construction,Male,10th Pass,8,13910,18000,14000,4090,22.72,1,90,0.64,0,34.861111111111114,High (30-60)
167,Maharashtra,Retail,Male,10th Pass,6,16049,20400,14000,4351,21.33,1,-2049,-14.64,0,34.16421568627451,High (30-60)
168,Rajasthan,Leather,Male,10th Pass,6,16532,19500,14000,2968,15.22,1,-2532,-18.09,0,31.11025641025641,High (30-60)
169,Karnataka,Construction,Female,12th Pass,8,20385,21600,18000,1215,5.62,1,-2385,-13.25,0,15.8125,Low (10-30)
170,Rajasthan,Services,Male,10th Pass,16,18062,19500,14000,1438,7.37,1,-4062,-29.01,0,16.68717948717949,Low (10-30)
171,Haryana,IT Services,Male,Post-Graduate,4,44746,20400,45000,-24346,-119.34,0,254,0.56,0,0.0,
172,Odisha,Manufacturing,Male,5th Pass,23,14546,17500,9000,2954,16.88,1,-5546,-61.62,0,31.939999999999998,High (30-60)
173,Uttar Pradesh,Manufacturing,Female,Illiterate,11,8349,19500,7000,11151,57.18,1,-1349,-19.27,1,92.89178427933659,Critical (60+)
174,Punjab,Manufacturing,Male,Graduate,13,30003,18500,32000,-11503,-62.18,0,1997,6.24,0,0.0,
175,Uttar Pradesh,Machinery,Male,Graduate,3,39363,19500,32000,-19863,-101.86,0,-7363,-23.01,0,0.0,
176,Karnataka,Services,Male,12th Pass,11,21408,21600,18000,192,0.89,1,-3408,-18.93,0,13.444444444444445,Low (10-30)
177,Karnataka,Textiles,Female,5th Pass,5,7346,21600,9000,14254,65.99,1,1654,18.38,1,100.0,Critical (60+)
178,Assam,Small Manufacturing,Male,Diploma,16,23304,16800,22000,-6504,-38.71,0,-1304,-5.93,0,0.0,
179,Uttar Pradesh,Food Processing,Female,12th Pass,6,14970,19500,18000,4530,23.23,1,3030,16.83,1,50.46192627768529,High (30-60)
180,Gujarat,IT Services,Female,Graduate,8,33654,21600,32000,-12054,-55.81,0,-1654,-5.17,0,0.0,
181,Karnataka,Textiles,Male,12th Pass,12,22941,21600,18000,-1341,-6.21,0,-4941,-27.45,0,0.0,
182,Gujarat,Construction,Male,5th Pass,10,10846,21600,9000,10754,49.79,1,-1846,-20.51,0,60.04079307792399,Critical (60+)
183,Odisha,Agriculture,Female,Illiterate,10,9694,17500,7000,7806,44.61,1,-2694,-38.49,1,99.38524292399707,Critical (60+)
184,Haryana,Agriculture,Male,5th Pass,17,13241,20400,9000,7159,35.09,1,-4241,-47.12,0,46.04656862745098,High (30-60)
185,Punjab,Agriculture,Male,Illiterate,20,14823,18500,7000,3677,19.88,1,-7823,-111.76,0,33.43783783783783,High (30-60)
186,Telangana,Retail,Male,Diploma,14,28087,19500,22000,-8587,-44.04,0,-6087,-27.67,0,0.0,
187,West Bengal,Food Processing,Male,5th Pass,8,10648,20400,9000,9752,47.8,1,-1648,-18.31,0,52.40196078431373,High (30-60)
188,Odisha,Textiles,Male,12th Pass,11,21363,17500,18000,-3863,-22.07,0,-3363,-18.68,0,0.0,
189,Maharashtra,Manufacturing,Male,12th Pass,1,19280,20400,18000,1120,5.49,1,-1280,-7.11,0,15.745098039215687,Low (10-30)
190,Gujarat,Chemicals,Male,5th Pass,17,14332,21600,9000,7268,33.65,1,-5332,-59.24,0,45.324074074074076,High (30-60)
191,Assam,Mining,Male,10th Pass,7,14818,16800,14000,1982,11.8,1,-818,-5.84,0,29.398809523809526,Low (10-30)
192,Chhattisgarh,Construction,Male,10th Pass,9,17507,22500,14000,4993,22.19,1,-3507,-25.05,0,34.595555555555556,High (30-60)
193,Maharashtra,Machinery,Male,Graduate,7,37622,20400,32000,-17222,-84.42,0,-5622,-17.57,0,0.0,
194,Maharashtra,Construction,Male,5th Pass,10,13297,20400,9000,7103,34.82,1,-4297,-47.74,0,45.90931372549019,High (30-60)
195,Chhattisgarh,Agriculture,Male,Illiterate,1,6317,22500,7000,16183,71.92,1,683,9.76,0,73.0607508244337,Critical (60+)
196,Rajasthan,Retail,Female,5th Pass,0,8202,19500,9000,11298,57.94,1,798,8.87,1,93.2832422636386,Critical (60+)
197,Punjab,Manufacturing,Female,Graduate,17,30522,18500,32000,-12022,-64.98,0,1478,4.62,0,0.0,
198,West Bengal,Agriculture,Male,Illiterate,14,10793,20400,7000,9607,47.09,1,-3793,-54.19,0,59.530308168152885,High (30-60)
199,Telangana,Manufacturing,Female,5th Pass,1,9057,19500,9000,10443,53.55,1,-57,-0.63,1,91.0063948039228,Critical (60+)
200,Haryana,Services,Male,10th Pass,19,21879,20400,14000,-1479,-7.25,0,-7879,-56.28,0,0.0,
201,Rajasthan,Metals,Male,12th Pass,14,24833,19500,18000,-5333,-27.35,0,-6833,-37.96,0,0.0,
202,Haryana,Construction,Male,Illiterate,12,10304,20400,7000,10096,49.49,1,-3304,-47.2,0,60.594229290731555,Critical (60+)
203,Karnataka,Agriculture,Male,Illiterate,22,12568,21600,7000,9032,41.81,1,-5568,-79.54,0,49.407407407407405,High (30-60)
204,Haryana,Construction,Male,Illiterate,4,8134,20400,7000,12266,60.13,1,-1134,-16.2,0,80.47101881315271,Critical (60+)
205,West Bengal,Leather,Male,10th Pass,3,13362,20400,14000,7038,34.5,1,638,4.56,0,45.75,High (30-60)
206,Assam,Textiles,Female,10th Pass,9,15344,16800,14000,1456,8.67,1,-1344,-9.6,1,33.22770431988933,High (30-60)
207,Gujarat,Construction,Male,5th Pass,6,8783,21600,9000,12817,59.34,1,217,2.41,0,79.10188473455979,Critical (60+)
