worker_id,state,industry,gender,education_level,experience_years,actual_monthly_wage,min_wage_standard,fair_wage_estimate,wage_gap,gap_percentage,is_underpaid,fair_wage_gap,fair_wage_gap_pct,gender_discriminated
19,Uttar Pradesh,Textiles,Male,12th Pass,16,25569,19500,18000,-6069,-31.12,0,-7569,-42.05,0
20,Tamil Nadu,Small Manufacturing,Male,10th Pass,10,19693,18000,14000,-1693,-9.41,0,-5693,-40.66,0
21,Uttar Pradesh,Construction,Male,Illiterate,9,7786,19500,7000,11714,60.07,1,-786,-11.23,0
22,Gujarat,Agriculture,Female,Illiterate,17,9616,21600,7000,11984,55.48,1,-2616,-37.37,1
23,Jharkhand,Silk,Female,10th Pass,10,17122,17800,14000,678,3.81,1,-3122,-22.3,0
24,Karnataka,Agriculture,Female,Illiterate,14,7756,21600,7000,13844,64.09,1,-756,-10.8,1
25,West Bengal,Agriculture,Female,Illiterate,13,7948,20400,7000,12452,61.04,1,-948,-13.54,1
26,Haryana,Services,Male,10th Pass,11,19110,20400,14000,1290,6.32,1,-5110,-36.5,0
27,Karnataka,Food Processing,Male,5th Pass,14,11036,21600,9000,10564,48.91,1,-2036,-22.62,0
28,Madhya Pradesh,Silk,Female,5th Pass,22,13742,18000,9000,4258,23.66,1,-4742,-52.69,1
29,Punjab,Construction,Male,5th Pass,1,10010,18500,9000,8490,45.89,1,-1010,-11.22,0
30,Uttar Pradesh,Small Manufacturing,Female,Illiterate,11,7401,19500,7000,12099,62.05,1,-401,-5.73,1
31,Jharkhand,Machinery,Male,10th Pass,13,18112,17800,14000,-312,-1.75,0,-4112,-29.37,0
32,Karnataka,Construction,Male,12th Pass,15,23697,21600,18000,-2097,-9.71,0,-5697,-31.65,0
33,Uttar Pradesh,Mining,Male,12th Pass,12,22827,19500,18000,-3327,-17.06,0,-4827,-26.82,0
34,Maharashtra,Textiles,Female,12th Pass,12,14755,20400,18000,5645,27.67,1,3245,18.03,1
35,Maharashtra,Retail,Female,Illiterate,19,11451,20400,7000,8949,43.87,1,-4451,-63.59,1
36,Karnataka,Food Processing,Female,5th Pass,13,12046,21600,9000,9554,44.23,1,-3046,-33.84,1
37,Punjab,Metals,Male,12th Pass,11,19299,18500,18000,-799,-4.32,0,-1299,-7.22,0
38,Karnataka,Services,Male,12th Pass,3,19891,21600,18000,1709,7.91,1,-1891,-10.51,0
39,Rajasthan,Agriculture,Male,5th Pass,20,13684,19500,9000,5816,29.83,1,-4684,-52.04,0
40,Maharashtra,Retail,Male,5th Pass,2,11343,20400,9000,9057,44.4,1,-2343,-26.03,0
41,Jharkhand,Mining,Male,Illiterate,14,13277,17800,7000,4523,25.41,1,-6277,-89.67,0
42,Madhya Pradesh,Leather,Male,5th Pass,8,10565,18000,9000,7435,41.31,1,-1565,-17.39,0
43,Tamil Nadu,Agriculture,Male,12th Pass,7,21024,18000,18000,-3024,-16.8,0,-3024,-16.8,0
44,Assam,Textiles,Male,10th Pass,11,18966,16800,14000,-2166,-12.89,0,-4966,-35.47,0
45,Chhattisgarh,Retail,Male,10th Pass,11,19840,22500,14000,2660,11.82,1,-5840,-41.71,0
46,Jharkhand,Agriculture,Male,5th Pass,19,15581,17800,9000,2219,12.47,1,-6581,-73.12,0
47,Chhattisgarh,Chemicals,Male,Graduate,5,34548,22500,32000,-12048,-53.55,0,-2548,-7.96,0
48,Maharashtra,Agriculture,Female,5th Pass,12,11099,20400,9000,9301,45.59,1,-2099,-23.32,1
49,Maharashtra,Construction,Male,10th Pass,8,18171,20400,14000,2229,10.93,1,-4171,-29.79,0
50,Karnataka,IT Services,Female,12th Pass,1,15750,21600,18000,5850,27.08,1,2250,12.5,0
51,Gujarat,Retail,Male,12th Pass,0,20125,21600,18000,1475,6.83,1,-2125,-11.81,0
52,Uttar Pradesh,Agriculture,Female,Illiterate,16,11886,19500,7000,7614,39.05,1,-4886,-69.8,1
53,Madhya Pradesh,Retail,Female,10th Pass,5,13434,18000,14000,4566,25.37,1,566,4.04,1
54,Odisha,Retail,Male,10th Pass,4,16646,17500,14000,854,4.88,1,-2646,-18.9,0
55,Gujarat,IT Services,Female,Graduate,11,24176,21600,32000,-2576,-11.93,0,7824,24.45,0
56,Maharashtra,Construction,Male,Illiterate,3,8543,20400,7000,11857,58.12,1,-1543,-22.04,0
57,Haryana,Construction,Male,5th Pass,6,10361,20400,9000,10039,49.21,1,-1361,-15.12,0
58,West Bengal,Retail,Male,Illiterate,0,7352,20400,7000,13048,63.96,1,-352,-5.03,0
59,Gujarat,Machinery,Male,12th Pass,13,17752,21600,18000,3848,17.81,1,248,1.38,0
60,West Bengal,Services,Female,12th Pass,4,17255,20400,18000,3145,15.42,1,745,4.14,0
61,Haryana,Agriculture,Female,12th Pass,17,16267,20400,18000,4133,20.26,1,1733,9.63,0
62,Uttar Pradesh,Metals,Male,Illiterate,8,8579,19500,7000,10921,56.01,1,-1579,-22.56,0
63,Maharashtra,Retail,Male,12th Pass,12,19716,20400,18000,684,3.35,1,-1716,-9.53,0
64,Tamil Nadu,Food Processing,Male,12th Pass,14,21424,18000,18000,-3424,-19.02,0,-3424,-19.02,0
65,Uttar Pradesh,Chemicals,Male,10th Pass,10,18705,19500,14000,795,4.08,1,-4705,-33.61,0
66,Rajasthan,Construction,Male,12th Pass,14,25098,19500,18000,-5598,-28.71,0,-7098,-39.43,0
67,Uttar Pradesh,Small Manufacturing,Female,5th Pass,10,12038,19500,9000,7462,38.27,1,-3038,-33.76,1
68,West Bengal,Retail,Male,10th Pass,7,14996,20400,14000,5404,26.49,1,-996,-7.11,0
69,Punjab,Food Processing,Male,12th Pass,9,17036,18500,18000,1464,7.91,1,964,5.36,0
70,Gujarat,Agriculture,Female,12th Pass,6,14252,21600,18000,7348,34.02,1,3748,20.82,1
71,Tamil Nadu,Food Processing,Female,10th Pass,11,12191,18000,14000,5809,32.27,1,1809,12.92,1
72,Madhya Pradesh,Retail,Female,5th Pass,4,10357,18000,9000,7643,42.46,1,-1357,-15.08,1
73,Uttar Pradesh,Mining,Male,12th Pass,5,21661,19500,18000,-2161,-11.08,0,-3661,-20.34,0
74,Gujarat,Agriculture,Female,12th Pass,13,18560,21600,18000,3040,14.07,1,-560,-3.11,0
75,Maharashtra,Agriculture,Female,Illiterate,17,11297,20400,7000,9103,44.62,1,-4297,-61.39,1
76,West Bengal,Services,Female,12th Pass,3,18433,20400,18000,1967,9.64,1,-433,-2.41,0
77,Karnataka,Services,Male,Illiterate,10,8295,21600,7000,13305,61.6,1,-1295,-18.5,0
78,Gujarat,Services,Male,12th Pass,9,22320,21600,18000,-720,-3.33,0,-4320,-24.0,0
79,Haryana,IT Services,Male,Graduate,14,32976,20400,32000,-12576,-61.65,0,-976,-3.05,0
80,Tamil Nadu,Agriculture,Male,5th Pass,7,9225,18000,9000,8775,48.75,1,-225,-2.5,0
81,Assam,Services,Male,Diploma,15,28458,16800,22000,-11658,-69.39,0,-6458,-29.35,0
82,Tamil Nadu,Small Manufacturing,Male,12th Pass,5,21260,18000,18000,-3260,-18.11,0,-3260,-18.11,0
83,West Bengal,Agriculture,Male,12th Pass,25,30470,20400,18000,-10070,-49.36,0,-12470,-69.28,0
84,Tamil Nadu,IT Services,Male,Graduate,4,37743,18000,32000,-19743,-109.68,0,-5743,-17.95,0
85,Madhya Pradesh,Agriculture,Female,5th Pass,15,12709,18000,9000,5291,29.39,1,-3709,-41.21,1
86,Jharkhand,Metals,Male,10th Pass,13,15244,17800,14000,2556,14.36,1,-1244,-8.89,0
87,Assam,IT Services,Male,Diploma,0,18599,16800,22000,-1799,-10.71,0,3401,15.46,0
88,Punjab,Agriculture,Male,10th Pass,26,24871,18500,14000,-6371,-34.44,0,-10871,-77.65,0
89,Gujarat,Agriculture,Female,12th Pass,20,22065,21600,18000,-465,-2.15,0,-4065,-22.58,0
90,Karnataka,Textiles,Female,Illiterate,19,11183,21600,7000,10417,48.23,1,-4183,-59.76,1
91,Uttar Pradesh,Agriculture,Female,12th Pass,28,21511,19500,18000,-2011,-10.31,0,-3511,-19.51,0
92,West Bengal,Machinery,Male,Graduate,12,41674,20400,32000,-21274,-104.28,0,-9674,-30.23,0
93,Haryana,Manufacturing,Male,10th Pass,0,14747,20400,14000,5653,27.71,1,-747,-5.34,0
94,Karnataka,Construction,Male,Illiterate,7,7832,21600,7000,13768,63.74,1,-832,-11.89,0
95,Tamil Nadu,Retail,Male,5th Pass,7,11843,18000,9000,6157,34.21,1,-2843,-31.59,0
96,Tamil Nadu,Manufacturing,Female,Illiterate,19,9838,18000,7000,8162,45.34,1,-2838,-40.54,1
97,Tamil Nadu,Construction,Male,Illiterate,4,8211,18000,7000,9789,54.38,1,-1211,-17.3,0
98,Chhattisgarh,Construction,Male,10th Pass,0,11657,22500,14000,10843,48.19,1,2343,16.74,0
99,Telangana,Small Manufacturing,Female,Illiterate,12,7873,19500,7000,11627,59.63,1,-873,-12.47,1
100,Karnataka,Mining,Male,10th Pass,16,17814,21600,14000,3786,17.53,1,-3814,-27.24,0
101,Haryana,Food Processing,Female,Illiterate,14,9564,20400,7000,10836,53.12,1,-2564,-36.63,1
102,Gujarat,Construction,Male,5th Pass,9,10494,21600,9000,11106,51.42,1,-1494,-16.6,0
103,Karnataka,Mining,Male,Illiterate,6,7461,21600,7000,14139,65.46,1,-461,-6.59,0
104,Telangana,IT Services,Male,Graduate,1,32279,19500,32000,-12779,-65.53,0,-279,-0.87,0
105,Maharashtra,Agriculture,Male,5th Pass,5,9591,20400,9000,10809,52.99,1,-591,-6.57,0
106,Uttar Pradesh,Retail,Male,12th Pass,6,23653,19500,18000,-4153,-21.3,0,-5653,-31.41,0
107,West Bengal,Manufacturing,Female,5th Pass,6,8029,20400,9000,12371,60.64,1,971,10.79,1
108,Uttar Pradesh,Textiles,Female,12th Pass,6,16995,19500,18000,2505,12.85,1,1005,5.58,0
109,Uttar Pradesh,Services,Female,5th Pass,4,7528,19500,9000,11972,61.39,1,1472,16.36,1
110,Punjab,Small Manufacturing,Male,10th Pass,13,16324,18500,14000,2176,11.76,1,-2324,-16.6,0
111,Rajasthan,Textiles,Female,5th Pass,0,6471,19500,9000,13029,66.82,1,2529,28.1,1
112,West Bengal,Manufacturing,Female,12th Pass,12,18221,20400,18000,2179,10.68,1,-221,-1.23,0
113,Gujarat,Construction,Male,5th Pass,14,11904,21600,9000,9696,44.89,1,-2904,-32.27,0
114,Chhattisgarh,Food Processing,Male,10th Pass,5,14953,22500,14000,7547,33.54,1,-953,-6.81,0
115,Uttar Pradesh,Small Manufacturing,Male,12th Pass,11,25034,19500,18000,-5534,-28.38,0,-7034,-39.08,0
116,Tamil Nadu,Construction,Male,10th Pass,4,17278,18000,14000,722,4.01,1,-3278,-23.41,0
117,Tamil Nadu,Chemicals,Female,10th Pass,15,16764,18000,14000,1236,6.87,1,-2764,-19.74,0
118,Gujarat,Mining,Male,Diploma,8,27490,21600,22000,-5890,-27.27,0,-5490,-24.95,0
119,Uttar Pradesh,Mining,Male,10th Pass,11,15446,19500,14000,4054,20.79,1,-1446,-10.33,0
120,Telangana,Agriculture,Male,5th Pass,30,18894,19500,9000,606,3.11,1,-9894,-109.93,0
121,Maharashtra,Small Manufacturing,Female,10th Pass,11,15411,20400,14000,4989,24.46,1,-1411,-10.08,0
122,Gujarat,Small Manufacturing,Female,12th Pass,6,15562,21600,18000,6038,27.95,1,2438,13.54,0
123,Karnataka,Food Processing,Male,Illiterate,13,10211,21600,7000,11389,52.73,1,-3211,-45.87,0
124,Madhya Pradesh,Construction,Male,12th Pass,10,20137,18000,18000,-2137,-11.87,0,-2137,-11.87,0
125,Rajasthan,Textiles,Male,5th Pass,16,14870,19500,9000,4630,23.74,1,-5870,-65.22,0
126,Gujarat,Manufacturing,Female,10th Pass,22,20370,21600,14000,1230,5.69,1,-6370,-45.5,0
127,West Bengal,Agriculture,Male,5th Pass,17,14133,20400,9000,6267,30.72,1,-5133,-57.03,0
128,West Bengal,Construction,Male,12th Pass,1,18776,20400,18000,1624,7.96,1,-776,-4.31,0
129,Chhattisgarh,Small Manufacturing,Female,10th Pass,20,16484,22500,14000,6016,26.74,1,-2484,-17.74,0
130,Odisha,Small Manufacturing,Male,Diploma,17,22907,17500,22000,-5407,-30.9,0,-907,-4.12,0
131,Assam,Metals,Male,5th Pass,13,13370,16800,9000,3430,20.42,1,-4370,-48.56,0
132,Uttar Pradesh,Construction,Male,5th Pass,14,10584,19500,9000,8916,45.72,1,-1584,-17.6,0
133,Uttar Pradesh,Agriculture,Male,5th Pass,3,10840,19500,9000,8660,44.41,1,-1840,-20.44,0
134,Haryana,Manufacturing,Female,10th Pass,1,10581,20400,14000,9819,48.13,1,3419,24.42,1
135,Haryana,Agriculture,Female,12th Pass,31,18685,20400,18000,1715,8.41,1,-685,-3.81,0
136,Punjab,Textiles,Female,Diploma,17,22248,18500,22000,-3748,-20.26,0,-248,-1.13,0
137,Maharashtra,Services,Male,12th Pass,9,18298,20400,18000,2102,10.3,1,-298,-1.66,0
138,Telangana,Manufacturing,Female,5th Pass,11,10338,19500,9000,9162,46.98,1,-1338,-14.87,1
139,Gujarat,Construction,Male,10th Pass,0,13444,21600,14000,8156,37.76,1,556,3.97,0
140,Gujarat,Textiles,Male,5th Pass,17,16616,21600,9000,4984,23.07,1,-7616,-84.62,0
141,Uttar Pradesh,Manufacturing,Male,12th Pass,19,19216,19500,18000,284,1.46,1,-1216,-6.76,0
142,Karnataka,Manufacturing,Female,12th Pass,22,17598,21600,18000,4002,18.53,1,402,2.23,0
143,Rajasthan,Textiles,Female,10th Pass,8,15179,19500,14000,4321,22.16,1,-1179,-8.42,1
144,Madhya Pradesh,Metals,Male,10th Pass,10,14993,18000,14000,3007,16.71,1,-993,-7.09,0
145,Uttar Pradesh,Small Manufacturing,Female,Illiterate,10,8232,19500,7000,11268,57.78,1,-1232,-17.6,1
146,Telangana,Metals,Male,10th Pass,2,13897,19500,14000,5603,28.73,1,103,0.74,0
147,West Bengal,Manufacturing,Male,12th Pass,0,16520,20400,18000,3880,19.02,1,1480,8.22,0
148,Jharkhand,Food Processing,Male,Illiterate,21,13233,17800,7000,4567,25.66,1,-6233,-89.04,0
149,Telangana,Chemicals,Female,12th Pass,14,19877,19500,18000,-377,-1.93,0,-1877,-10.43,0
150,Karnataka,Textiles,Male,12th Pass,0,18184,21600,18000,3416,15.81,1,-184,-1.02,0
151,Tamil Nadu,Manufacturing,Male,Illiterate,13,9914,18000,7000,8086,44.92,1,-2914,-41.63,0
152,Gujarat,Retail,Female,Diploma,2,15452,21600,22000,6148,28.46,1,6548,29.76,0
153,Tamil Nadu,Small Manufacturing,Male,12th Pass,18,20361,18000,18000,-2361,-13.12,0,-2361,-13.12,0
154,Jharkhand,Agriculture,Male,5th Pass,24,13264,17800,9000,4536,25.48,1,-4264,-47.38,0
155,Tamil Nadu,Food Processing,Male,Illiterate,5,7781,18000,7000,10219,56.77,1,-781,-11.16,0
156,Uttar Pradesh,Food Processing,Male,5th Pass,0,8913,19500,9000,10587,54.29,1,87,0.97,0
157,Punjab,Small Manufacturing,Female,12th Pass,5,16550,18500,18000,1950,10.54,1,1450,8.06,0
158,West Bengal,Silk,Female,10th Pass,9,11782,20400,14000,8618,42.25,1,2218,15.84,1
159,Odisha,Agriculture,Male,10th Pass,21,22731,17500,14000,-5231,-29.89,0,-8731,-62.36,0
160,Chhattisgarh,Manufacturing,Male,12th Pass,7,16816,22500,18000,5684,25.26,1,1184,6.58,0
161,Jharkhand,Textiles,Female,Diploma,11,24713,17800,22000,-6913,-38.84,0,-2713,-12.33,0
162,Odisha,Chemicals,Male,12th Pass,1,20856,17500,18000,-3356,-19.18,0,-2856,-15.87,0
163,Karnataka,Agriculture,Male,Illiterate,18,10815,21600,7000,10785,49.93,1,-3815,-54.5,0
164,Gujarat,Small Manufacturing,Male,Illiterate,10,9189,21600,7000,12411,57.46,1,-2189,-31.27,0
165,Jharkhand,Services,Female,Graduate,9,27360,17800,32000,-9560,-53.71,0,4640,14.5,0
166,Madhya Pradesh,Construction,Male,10th Pass,8,13910,18000,14000,4090,22.72,1,90,0.64,0
167,Maharashtra,Retail,Male,10th Pass,6,16049,20400,14000,4351,21.33,1,-2049,-14.64,0
168,Rajasthan,Leather,Male,10th Pass,6,16532,19500,14000,2968,15.22,1,-2532,-18.09,0
169,Karnataka,Construction,Female,12th Pass,8,20385,21600,18000,1215,5.62,1,-2385,-13.25,0
170,Rajasthan,Services,Male,10th Pass,16,18062,19500,14000,1438,7.37,1,-4062,-29.01,0
171,Haryana,IT Services,Male,Post-Graduate,4,44746,20400,45000,-24346,-119.34,0,254,0.56,0
172,Odisha,Manufacturing,Male,5th Pass,23,14546,17500,9000,2954,16.88,1,-5546,-61.62,0
173,Uttar Pradesh,Manufacturing,Female,Illiterate,11,8349,19500,7000,11151,57.18,1,-1349,-19.27,1
174,Punjab,Manufacturing,Male,Graduate,13,30003,18500,32000,-11503,-62.18,0,1997,6.24,0
175,Uttar Pradesh,Machinery,Male,Graduate,3,39363,19500,32000,-19863,-101.86,0,-7363,-23.01,0
176,Karnataka,Services,Male,12th Pass,11,21408,21600,18000,192,0.89,1,-3408,-18.93,0
177,Karnataka,Textiles,Female,5th Pass,5,7346,21600,9000,14254,65.99,1,1654,18.38,1
178,Assam,Small Manufacturing,Male,Diploma,16,23304,16800,22000,-6504,-38.71,0,-1304,-5.93,0
179,Uttar Pradesh,Food Processing,Female,12th Pass,6,14970,19500,18000,4530,23.23,1,3030,16.83,1
180,Gujarat,IT Services,Female,Graduate,8,33654,21600,32000,-12054,-55.81,0,-1654,-5.17,0
181,Karnataka,Textiles,Male,12th Pass,12,22941,21600,18000,-1341,-6.21,0,-4941,-27.45,0
182,Gujarat,Construction,Male,5th Pass,10,10846,21600,9000,10754,49.79,1,-1846,-20.51,0
183,Odisha,Agriculture,Female,Illiterate,10,9694,17500,7000,7806,44.61,1,-2694,-38.49,1
184,Haryana,Agriculture,Male,5th Pass,17,13241,20400,9000,7159,35.09,1,-4241,-47.12,0
185,Punjab,Agriculture,Male,Illiterate,20,14823,18500,7000,3677,19.88,1,-7823,-111.76,0
186,Telangana,Retail,Male,Diploma,14,28087,19500,22000,-8587,-44.04,0,-6087,-27.67,0
187,West Bengal,Food Processing,Male,5th Pass,8,10648,20400,9000,9752,47.8,1,-1648,-18.31,0
188,Odisha,Textiles,Male,12th Pass,11,21363,17500,18000,-3863,-22.07,0,-3363,-18.68,0
189,Maharashtra,Manufacturing,Male,12th Pass,1,19280,20400,18000,1120,5.49,1,-1280,-7.11,0
190,Gujarat,Chemicals,Male,5th Pass,17,14332,21600,9000,7268,33.65,1,-5332,-59.24,0
191,Assam,Mining,Male,10th Pass,7,14818,16800,14000,1982,11.8,1,-818,-5.84,0
192,Chhattisgarh,Construction,Male,10th Pass,9,17507,22500,14000,4993,22.19,1,-3507,-25.05,0
193,Maharashtra,Machinery,Male,Graduate,7,37622,20400,32000,-17222,-84.42,0,-5622,-17.57,0
194,Maharashtra,Construction,Male,5th Pass,10,13297,20400,9000,7103,34.82,1,-4297,-47.74,0
195,Chhattisgarh,Agriculture,Male,Illiterate,1,6317,22500,7000,16183,71.92,1,683,9.76,0
196,Rajasthan,Retail,Female,5th Pass,0,8202,19500,9000,11298,57.94,1,798,8.87,1
197,Punjab,Manufacturing,Female,Graduate,17,30522,18500,32000,-12022,-64.98,0,1478,4.62,0
198,West Bengal,Agriculture,Male,Illiterate,14,10793,20400,7000,9607,47.09,1,-3793,-54.19,0
199,Telangana,Manufacturing,Female,5th Pass,1,9057,19500,9000,10443,53.55,1,-57,-0.63,1
200,Haryana,Services,Male,10th Pass,19,21879,20400,14000,-1479,-7.25,0,-7879,-56.28,0
201,Rajasthan,Metals,Male,12th Pass,14,24833,19500,18000,-5333,-27.35,0,-6833,-37.96,0
202,Haryana,Construction,Male,Illiterate,12,10304,20400,7000,10096,49.49,1,-3304,-47.2,0
203,Karnataka,Agriculture,Male,Illiterate,22,12568,21600,7000,9032,41.81,1,-5568,-79.54,0
204,Haryana,Construction,Male,Illiterate,4,8134,20400,7000,12266,60.13,1,-1134,-16.2,0
205,West Bengal,Leather,Male,10th Pass,3,13362,20400,14000,7038,34.5,1,638,4.56,0
206,Assam,Textiles,Female,10th Pass,9,15344,16800,14000,1456,8.67,1,-1344,-9.6,1
207,Gujarat,Construction,Male,5th Pass,6,8783,21600,9000,12817,59.34,1,217,2.41,0
208,Maharashtra,Agriculture,Male,Illiterate,8,10112,20400,7000,10288,50.43,1,-3112,-44.46,0
209,Rajasthan,Manufacturing,Female,5th Pass,23,10982,19500,9000,8518,43.68,1,-1982,-22.02,1
210,Jharkhand,Construction,Male,5th Pass,13,14814,17800,9000,2986,16.78,1,-5814,-64.6,0
211,Odisha,Chemicals,Male,10th Pass,22,20207,17500,14000,-2707,-15.47,0,-6207,-44.34,0
212,Punjab,Agriculture,Female,10th Pass,16,13169,18500,14000,5331,28.82,1,831,5.94,1
213,Karnataka,Textiles,Female,12th Pass,13,19796,21600,18000,1804,8.35,1,-1796,-9.98,0
214,Haryana,Agriculture,Female,10th Pass,9,17013,20400,14000,3387,16.6,1,-3013,-21.52,0
215,Assam,Retail,Male,5th Pass,6,12390,16800,9000,4410,26.25,1,-3390,-37.67,0
216,Odisha,Food Processing,Female,10th Pass,0,11286,17500,14000,6214,35.51,1,2714,19.39,1
217,Assam,Construction,Male,12th Pass,18,23275,16800,18000,-6475,-38.54,0,-5275,-29.31,0
218,Telangana,Small Manufacturing,Female,5th Pass,6,9519,19500,9000,9981,51.18,1,-519,-5.77,1
219,Jharkhand,Manufacturing,Male,12th Pass,6,21509,17800,18000,-3709,-20.84,0,-3509,-19.49,0
220,Telangana,Textiles,Male,5th Pass,12,10992,19500,9000,8508,43.63,1,-1992,-22.13,0
221,Madhya Pradesh,Agriculture,Male,Illiterate,21,12551,18000,7000,5449,30.27,1,-5551,-79.3,0
222,West Bengal,Textiles,Male,5th Pass,0,8129,20400,9000,12271,60.15,1,871,9.68,0
223,Punjab,Silk,Female,10th Pass,8,12468,18500,14000,6032,32.61,1,1532,10.94,1
224,Maharashtra,Textiles,Female,10th Pass,13,17216,20400,14000,3184,15.61,1,-3216,-22.97,0
225,Uttar Pradesh,Manufacturing,Male,12th Pass,9,16863,19500,18000,2637,13.52,1,1137,6.32,0
226,Odisha,Retail,Male,10th Pass,5,17395,17500,14000,105,0.6,1,-3395,-24.25,0
227,West Bengal,Machinery,Female,10th Pass,11,14888,20400,14000,5512,27.02,1,-888,-6.34,1
228,Jharkhand,Construction,Male,Illiterate,7,10679,17800,7000,7121,40.01,1,-3679,-52.56,0
229,Uttar Pradesh,Agriculture,Female,Illiterate,23,11601,19500,7000,7899,40.51,1,-4601,-65.73,1
230,Gujarat,Agriculture,Female,10th Pass,18,13389,21600,14000,8211,38.01,1,611,4.36,1
231,Uttar Pradesh,Retail,Male,5th Pass,4,11702,19500,9000,7798,39.99,1,-2702,-30.02,0
232,Tamil Nadu,Retail,Male,Diploma,19,29730,18000,22000,-11730,-65.17,0,-7730,-35.14,0
233,Haryana,IT Services,Male,Post-Graduate,10,42540,20400,45000,-22140,-108.53,0,2460,5.47,0
234,Punjab,Agriculture,Female,10th Pass,25,19428,18500,14000,-928,-5.02,0,-5428,-38.77,0
235,Assam,Construction,Male,Diploma,9,25362,16800,22000,-8562,-50.96,0,-3362,-15.28,0
236,Odisha,Machinery,Male,12th Pass,15,24008,17500,18000,-6508,-37.19,0,-6008,-33.38,0
237,Rajasthan,Food Processing,Female,12th Pass,8,17648,19500,18000,1852,9.5,1,352,1.96,0
238,Maharashtra,Silk,Female,5th Pass,9,10722,20400,9000,9678,47.44,1,-1722,-19.13,1
239,Uttar Pradesh,Agriculture,Female,Illiterate,29,13982,19500,7000,5518,28.3,1,-6982,-99.74,1
240,Haryana,Mining,Male,Diploma,18,27171,20400,22000,-6771,-33.19,0,-5171,-23.5,0
241,Maharashtra,Mining,Male,10th Pass,18,20237,20400,14000,163,0.8,1,-6237,-44.55,0
242,Rajasthan,Metals,Male,12th Pass,32,22281,19500,18000,-2781,-14.26,0,-4281,-23.78,0
243,Tamil Nadu,Construction,Male,10th Pass,8,13515,18000,14000,4485,24.92,1,485,3.46,0
244,Jharkhand,Mining,Male,Illiterate,10,9027,17800,7000,8773,49.29,1,-2027,-28.96,0
245,Uttar Pradesh,Leather,Female,12th Pass,14,20501,19500,18000,-1001,-5.13,0,-2501,-13.89,0
246,Uttar Pradesh,Agriculture,Female,Illiterate,0,6381,19500,7000,13119,67.28,1,619,8.84,1
247,Tamil Nadu,Agriculture,Female,10th Pass,0,14103,18000,14000,3897,21.65,1,-103,-0.74,1
248,Haryana,Chemicals,Female,12th Pass,15,20143,20400,18000,257,1.26,1,-2143,-11.91,0
249,Assam,IT Services,Male,Post-Graduate,3,47937,16800,45000,-31137,-185.34,0,-2937,-6.53,0
250,Uttar Pradesh,Metals,Male,Diploma,7,21563,19500,22000,-2063,-10.58,0,437,1.99,0
251,Rajasthan,Manufacturing,Male,12th Pass,6,20780,19500,18000,-1280,-6.56,0,-2780,-15.44,0
252,Haryana,IT Services,Male,Diploma,7,27597,20400,22000,-7197,-35.28,0,-5597,-25.44,0
253,Karnataka,Construction,Male,Illiterate,13,9731,21600,7000,11869,54.95,1,-2731,-39.01,0
254,Uttar Pradesh,IT Services,Male,Graduate,14,30935,19500,32000,-11435,-58.64,0,1065,3.33,0
255,Chhattisgarh,Agriculture,Male,5th Pass,20,13644,22500,9000,8856,39.36,1,-4644,-51.6,0
